% LIQUIDITY FACTORS OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2020
% Column 1: Month
% Column 2: Levels of aggregated liquidity (Figure 1 in the paper)
% Column 3: Innovations in aggregated liquidity (non-traded liquidity factor; equation(8); the main series)
% Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return)
% Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical
% liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study)
% and through 2020 it is similarly successful at creating a spread in post-ranking betas. The traded
% factor has a positive and significant alpha through 2020, consistent with liquidity risk being priced.
%
% Month	Agg Liq.	Innov Liq (eq8)	Traded Liq (LIQ_V)
199810	 -0.04404540	  0.05801167	  0.02027144	
199811	  0.04823199	  0.11775148	  0.01919411	
199812	 -0.14742558	 -0.10716637	  0.03415659	
199901	  0.06403785	  0.06622543	  0.05032729	
199902	 -0.08631989	 -0.06282531	  0.02085955	
199903	 -0.06063725	 -0.00585486	 -0.00471519	
199904	  0.19772335	  0.27780506	  0.08913374	
199905	 -0.13420216	 -0.13948496	 -0.00720826	
199906	  0.05777318	  0.06094533	  0.04348088	
199907	  0.06744183	  0.05560289	 -0.01604955	
199908	  0.05100526	 -0.01532151	 -0.00405103	
199909	 -0.04829270	 -0.07564948	 -0.03051260	
199910	  0.09791676	  0.08261545	  0.08900741	
199911	 -0.00096325	 -0.03866569	 -0.01749778	
199912	 -0.07468003	 -0.08400919	  0.04421202	
200001	 -0.06792833	 -0.04539323	  0.01117172	
200002	 -0.04155835	 -0.01263163	  0.00886795	
200003	 -0.00645722	  0.10989680	 -0.00146242	
200004	 -0.22487386	 -0.21837359	 -0.04338874	
200005	  0.06565173	  0.08225709	 -0.02643651	
200006	 -0.18202630	 -0.15660172	 -0.03424527	
200007	  0.05854429	 -0.05997461	  0.10993483	
200008	 -0.07032397	  0.01933125	 -0.00958459	
200009	 -0.17040506	 -0.15796166	 -0.03850098	
200010	 -0.13566754	 -0.00223742	  0.02268829	
200011	 -0.14297821	 -0.12751707	 -0.03664315	
